0.000000 -0.266397 -0.076486 0.166435
0.001000 -0.240656 -0.060669 0.183182
0.002000 -0.233246 -0.040975 0.201229
0.003000 -0.188244 0.022360 0.178181
0.004000 -0.136142 0.056074 0.169732
0.005000 -0.126977 0.056201 0.188175
0.006000 -0.134778 0.066605 0.186224
0.007000 -0.117733 0.040863 0.143859
0.008000 -0.144273 0.003217 0.156766
0.009000 -0.140282 0.006955 0.128901
0.010000 -0.151983 -0.024360 0.122209
0.011000 -0.216336 -0.080516 0.138286
0.012000 -0.228212 -0.098321 0.126308
0.013000 -0.247229 -0.138094 0.091242
0.014000 -0.252039 -0.195474 0.060344
0.015000 -0.271000 -0.175082 0.096373
0.016000 -0.275969 -0.165465 0.097061
0.017000 -0.314677 -0.167873 0.152155
0.018000 -0.336794 -0.181976 0.159538
0.019000 -0.321548 -0.140798 0.184605
0.020000 -0.309778 -0.102315 0.189952
0.021000 -0.296114 -0.069766 0.197339
0.022000 -0.247508 -0.042119 0.207329
0.023000 -0.203879 -0.012340 0.193827
0.024000 -0.177019 0.037787 0.190912
0.025000 -0.135606 0.050577 0.182440
0.026000 -0.122457 0.070803 0.201343
0.027000 -0.112512 0.065832 0.152612
0.028000 -0.094658 0.041711 0.129888
0.029000 -0.117014 0.006484 0.130038
0.030000 -0.146746 -0.019109 0.106238
0.031000 -0.146473 -0.055995 0.061110
0.032000 -0.202997 -0.090150 0.117894
0.033000 -0.274669 -0.108186 0.145565
0.034000 -0.284718 -0.150300 0.135529
0.035000 -0.300605 -0.133789 0.154249
0.036000 -0.300211 -0.136097 0.150875
0.037000 -0.309176 -0.140589 0.178485
0.038000 -0.279579 -0.109730 0.141995
0.039000 -0.230286 -0.069035 0.180010
0.040000 -0.225169 -0.015060 0.191983
0.041000 -0.168918 0.049546 0.198076
0.042000 -0.122704 0.097949 0.224687
0.043000 -0.076660 0.128202 0.179670
0.044000 -0.025939 0.171074 0.181641
0.045000 0.023943 0.218088 0.193545
0.046000 0.054803 0.257175 0.180163
0.047000 0.043525 0.255109 0.205055
0.048000 0.073388 0.286161 0.184953
0.049000 0.119381 0.278197 0.148830
0.050000 0.092205 0.245203 0.149524
